nombre,enlace,link_imagen,precio,valor_nutricional,oferta,precio_por_peso
Berlinas bombón Donuts bandeja 4 unidades 220 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/903,https://www.dia.es/product_images/903/903_ISO_0_ES.jpg?imwidth=392,"2,99 €",Grasas 31g de las cuales saturadas 21g Hidratos de Carbono 42g de los cuales azúcares 18g Fibra alimentaria 2.8g Proteínas 6.3g Sal 0.4g,No disponible,"(13,59 €/KILO)"
Conchas de chocolate Codan bolsa 330 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/89469,https://www.dia.es/product_images/89469/89469_ISO_0_ES.jpg?imwidth=392,"2,25 €",Grasas 28g de las cuales saturadas 13g Hidratos de Carbono 54g de los cuales azúcares 33g Proteínas 4.3g Sal 0.71g,No disponible,"(6,82 €/KILO)"
Magdalenas rellenas con crema de cacao El molino de Dia bolsa 336 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/86108,https://www.dia.es/product_images/86108/86108_ISO_0_ES.jpg?imwidth=392,"1,69 €",Grasas 23g de las cuales saturadas 4.9g Hidratos de Carbono 55g de los cuales azúcares 32g Proteínas 4.2g Sal 0.8g,No disponible,"(5,03 €/KILO)"
Rosquillas clásicas Donettes bandeja 152 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/65834,https://www.dia.es/product_images/65834/65834_ISO_0_ES.jpg?imwidth=392,"2,85 €",Grasas 26g de las cuales saturadas 16g Hidratos de Carbono 49g de los cuales azúcares 28g Fibra alimentaria 2g Proteínas 5.7g Sal 0.83g,No disponible,"(16,19 €/KILO)"
Mini bollitos de cacao rellenos de crema Phoskitos caja 130 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/62164,https://www.dia.es/product_images/62164/62164_ISO_0_ES.jpg?imwidth=392,"2,99 €",Grasas 18g de las cuales saturadas 12g Hidratos de Carbono 61g de los cuales azúcares 34g Fibra alimentaria 2.5g Proteínas 5.2g Sal 0.23g,No disponible,"(23,00 €/KILO)"
Bizcochos con huevo Galleteca de Dia bolsa 400 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/5543,https://www.dia.es/product_images/5543/5543_ISO_0_ES.jpg?imwidth=392,"1,65 €",Grasas 3.3g de las cuales saturadas 0.8g Hidratos de Carbono 76g de los cuales azúcares 44g Fibra alimentaria 2g Proteínas 9g Sal 0.55g,No disponible,"(4,13 €/KILO)"
Bollitos rellenos de leche Phoskitos caja 160 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/43712,https://www.dia.es/product_images/43712/43712_ISO_0_ES.jpg?imwidth=392,"2,99 €",Grasas 17g de las cuales saturadas 11g Hidratos de Carbono 59g de los cuales azúcares 34g Fibra alimentaria 2.5g Proteínas 5.3g Sal 0.21g,No disponible,"(18,69 €/KILO)"
Brazo relleno de fresa El molino de Dia bolsa 300 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/42843,https://www.dia.es/product_images/42843/42843_ISO_0_ES.jpg?imwidth=392,"1,79 €",Grasas 8.6g de las cuales saturadas 4.3g Hidratos de Carbono 69g de los cuales azúcares 39g Proteínas 3.7g Sal 0.47g,No disponible,"(5,97 €/KILO)"
Berlinas glacé Donuts bandeja 4 unidades 208 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/38177,https://www.dia.es/product_images/38177/38177_ISO_0_ES.jpg?imwidth=392,"2,99 €",Grasas 17g de las cuales saturadas 9.3g Hidratos de Carbono 38g de los cuales azúcares 24g Fibra alimentaria 1.4g Proteínas 5.5g Sal 1g,No disponible,"(14,38 €/KILO)"
Pan de leche La bella easo bolsa 350 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/34772,https://www.dia.es/product_images/34772/34772_ISO_0_ES.jpg?imwidth=392,"3,29 €",Grasas 12g de las cuales saturadas 6.1g Hidratos de Carbono 51g de los cuales azúcares 14g Fibra alimentaria 2.6g Proteínas 9.5g Sal 0.9g,No disponible,"(9,40 €/KILO)"
